nu,I
1374528243.54298,2.910526006454959e-25
1374559893.58979,2.9094770063402895e-25
1374591544.36539,2.9085190025636326e-25
1374623195.86978,2.907650022972725e-25
1374654848.10298,2.9068709920139403e-25
1374686501.06501,2.906175993230489e-25
1374718154.75589,2.9055609898732076e-25
1374749809.17562,2.9050210207465597e-25
1374781464.32424,2.904548012352218e-25
1374813120.20175,2.9041370034946464e-25
1374844776.80817,2.903781985272418e-25
1374876434.14351,2.903477010413864e-25
1374908092.20781,2.9032120024535165e-25
1374939751.00107,2.9029849892391117e-25
1374971410.52331,2.902789006607971e-25
1375003070.77454,2.90261900091992e-25
1375034731.75478,2.9024709970555536e-25
1375066393.46405,2.9023420059715983e-25
1375098055.90238,2.902227004842759e-25
1375129719.06976,2.9021250075929043e-25
1375161382.96622,2.9020299745057285e-25
1375193047.59178,2.901944000993011e-25
1375224712.94646,2.9018629886758303e-25
1375256379.03026,2.9017869991839446e-25
1375288045.84321,2.901714984811464e-25
1375319713.38532,2.9016430012538627e-25
1375351381.65662,2.9015749928156665e-25
1375383050.65711,2.9015090181594915e-25
1375414720.38682,2.9014429818735584e-25
1375446390.84575,2.901377993293515e-25
1375478062.03394,2.901311987822461e-25
1375509733.95139,2.901248016133428e-25
1375541406.59812,2.901183982814637e-25
1375573079.97415,2.9011199803107253e-25
1375604754.07949,2.9010560086216925e-25
1375636428.91416,2.9009920061177807e-25
1375668104.47819,2.900928003613869e-25
1375699780.77157,2.900864001109957e-25
1375731457.79434,2.900799998606045e-25
1375763135.54651,2.900737012993144e-25
1375794814.02809,2.9006719935982213e-25
1375826493.23912,2.90060900798532e-25
1375858173.17958,2.9005439885903975e-25
1375889853.84951,2.900480972162617e-25
1375921535.24893,2.900415983582574e-25
1375953217.37784,2.900351981078662e-25
1375984900.23627,2.900288009389629e-25
1376016583.82424,2.900223976070838e-25
1376048268.14175,2.9001599735669263e-25
1376079953.18883,2.9000960018778935e-25
1376111638.9655,2.90003101329785e-25
1376143325.47176,2.8999659939029276e-25
1376175012.70764,2.899902022213895e-25
1376206700.67316,2.8998390057861145e-25
1376238389.36832,2.8997730003150604e-25
1376270078.79316,2.8997089978111486e-25
1376301768.94768,2.8996449953072367e-25
1376333459.8319,2.8995800067271933e-25
1376365151.44583,2.8995159734084023e-25
1376396843.78951,2.8994499987522274e-25
1376428536.86293,2.8993859962483155e-25
1376460230.66613,2.899321007668272e-25
1376491925.1991,2.89925700516436e-25
1376523620.46188,2.8991919857694377e-25
1376555316.45448,2.899128014080405e-25
1376587013.17692,2.899061977794472e-25
1376618710.6292,2.898998006105439e-25
1376650408.81136,2.898932000634385e-25
1376682107.7234,2.898867998130473e-25
1376713807.36535,2.8988030095504297e-25
1376745507.73721,2.8987370040793756e-25
1376777208.83901,2.898673001575464e-25
1376808910.67076,2.8986069961044097e-25
1376840613.23248,2.8985409906333557e-25
1376872316.5242,2.898477018944323e-25
1376904020.54591,2.898411013473269e-25
1376935725.29765,2.8983459940783464e-25
1376967430.77942,2.898281005498303e-25
1376999136.99125,2.8982159861033805e-25
